Unnamed: 0,Steps,Time [s],[A] Directional Deformation Flexible (Min) [m],[B] Directional Deformation Flexible (Max) [m],[C] Directional Deformation SiC (Min) [m],[D] Directional Deformation SiC (Max) [m],[E] Directional Deformation Asperity (Min) [m],[F] Directional Deformation Asperity (Max) [m],[G] Directional Velocity Flexible (Min) [m/s],[H] Directional Velocity Flexible (Max) [m/s],[I] Directional Velocity SiC (Min) [m/s],[J] Directional Velocity SiC (Max) [m/s],[K] Directional Velocity Asperity (Min) [m/s],[L] Directional Velocity Asperity (Max) [m/s],[M] Directional Acceleration Flexible (Min) [m/s²],[N] Directional Acceleration Flexible (Max) [m/s²],[O] Directional Acceleration SiC (Min) [m/s²],[P] Directional Acceleration SiC (Max) [m/s²],[Q] Directional Acceleration Asperity (Min) [m/s²],[R] Directional Acceleration Asperity (Max) [m/s²],[S] Equivalent Elastic Strain Flexible (Min) [m/m],[T] Equivalent Elastic Strain Flexible (Max) [m/m],[U] Equivalent Elastic Strain SiC (Min) [m/m],[V] Equivalent Elastic Strain SiC (Max) [m/m],[W] Equivalent Elastic Strain Asperity (Min) [m/m],[X] Equivalent Elastic Strain Asperity (Max) [m/m],[Y] Equivalent Stress Flexible (Min) [Pa],[Z] Equivalent Stress Flexible (Max) [Pa],[AA] Equivalent Stress SiC (Min) [Pa],[AB] Equivalent Stress SiC (Max) [Pa],[AC] Equivalent Stress Asperity (Min) [Pa],[AD] Equivalent Stress Asperity (Max) [Pa],[AE] Directional Deformation 4 (Min) [m],[AF] Directional Deformation 4 (Max) [m],[AG] Directional Velocity 4 (Min) [m/s],[AH] Directional Velocity 4 (Max) [m/s],[AI] Directional Acceleration (Min) [m/s²],[AJ] Directional Acceleration (Max) [m/s²],[AK] Equivalent Elastic Strain 4 (Min) [m/m],[AL] Equivalent Elastic Strain 4 (Max) [m/m],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa]
1,1,1.18E-38,0,0,0,0,0,0,-15,0,-15,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,0
2,1,1.26E-07,-1.89E-06,2.32E-08,-1.89E-06,-1.86E-06,-5.00E-07,2.32E-08,-16.909,0.38013,-16.909,-12.634,-14.509,3.80E-01,-2.09E+08,4.93E+08,-1.22E+08,4.93E+08,-2.09E+08,4.61E+07,0,3.55E-03,0,2.35E-04,0,3.55E-03,0,2.15E+08,0,6.17E+07,0,2.15E+08,-1.89E-06,2.32E-08,-16.909,3.80E-01,-2.09E+08,4.93E+08,0,3.55E-03,0,2.15E+08
3,1,2.54E-07,-3.82E-06,1.87E-10,-3.82E-06,-3.72E-06,-2.26E-06,1.87E-10,-15.409,0.34695,-15.409,-14.313,-14.591,0.34695,-2.71E+08,2.12E+08,-2.71E+08,2.12E+08,-5.86E+07,1.10E+08,0,7.64E-03,0.00E+00,4.26E-04,0,7.64E-03,0,4.75E+08,0,1.01E+08,0,4.75E+08,-3.82E-06,1.87E-10,-15.409,0.34695,-2.71E+08,2.12E+08,0,7.64E-03,0,4.75E+08
4,1,3.83E-07,-5.74E-06,9.65E-10,-5.74E-06,-5.58E-06,-4.14E-06,9.65E-10,-15.416,0.6137,-15.416,-12.89,-12.704,0.6137,-3.79E+08,2.67E+08,-2.11E+08,2.67E+08,-3.79E+08,3.69E+07,0,7.84E-03,9.65E-09,5.68E-04,0,7.84E-03,0,5.35E+08,4263.1,1.49E+08,0,5.35E+08,-5.74E-06,9.65E-10,-15.416,0.6137,-3.79E+08,2.67E+08,0,7.84E-03,0,5.35E+08
5,1,5.11E-07,-7.67E-06,2.01E-09,-7.67E-06,-7.32E-06,-6.06E-06,2.01E-09,-15.304,0.17712,-15.304,-13.735,-15.217,0.17712,-1.08E+08,1.25E+08,-1.08E+08,1.25E+08,-6.30E+07,3.54E+07,0,7.96E-03,6.54E-08,1.33E-03,0,7.96E-03,0,5.73E+08,26362,3.26E+08,0,5.73E+08,-7.67E-06,2.01E-09,-15.304,0.17712,-1.08E+08,1.25E+08,0,7.96E-03,0,5.73E+08
6,1,6.40E-07,-9.59E-06,3.51E-09,-9.59E-06,-9.09E-06,-7.92E-06,3.51E-09,-15.555,2.17E-02,-15.555,-13.747,-15.317,2.17E-02,-2.40E+08,4.84E+08,-1.77E+08,9.64E+07,-2.40E+08,4.84E+08,0,8.04E-03,1.95E-07,1.81E-03,0,8.04E-03,0,6.71E+08,8.13E+04,4.66E+08,0,6.71E+08,-9.59E-06,3.51E-09,-15.555,2.17E-02,-2.40E+08,4.84E+08,0,8.04E-03,0,6.71E+08
7,1,7.68E-07,-1.15E-05,4.33E-09,-1.15E-05,-1.09E-05,-1.05E-05,4.33E-09,-21.844,0.9309,-15.192,-14.068,-21.844,0.9309,-8.04E+07,1.38E+08,-8.04E+07,1.38E+08,-2.81E+07,4.63E+07,0,8.13E-03,3.67E-07,2.00E-03,0,8.13E-03,0,7.00E+08,1.01E+05,5.50E+08,0,7.00E+08,-1.15E-05,4.33E-09,-21.844,0.9309,-8.04E+07,1.38E+08,0,8.13E-03,0,7.00E+08
8,1,8.96E-07,-1.34E-05,5.60E-09,-1.34E-05,-1.28E-05,-1.28E-05,5.60E-09,-17.748,1.4081,-15.703,-13.794,-17.748,1.4081,-2.68E+08,2.76E+08,-1.95E+08,2.76E+08,-2.68E+08,2.51E+08,0,8.19E-03,3.73E-07,2.03E-03,0,8.19E-03,0,7.71E+08,9.49E+04,5.78E+08,0,7.71E+08,-1.34E-05,5.60E-09,-17.748,1.4081,-2.68E+08,2.76E+08,0,8.19E-03,0,7.71E+08
9,1,1.02E-06,-1.54E-05,7.31E-09,-1.54E-05,-1.46E-05,-1.49E-05,7.31E-09,-17.451,1.5255,-15.196,-13.336,-17.451,1.5255,-2.61E+08,2.26E+08,-2.61E+08,2.26E+08,-1.47E+08,1.63E+08,0,8.22E-03,6.03E-07,1.97E-03,0,8.22E-03,0,7.98E+08,2.16E+05,7.01E+08,0,7.98E+08,-1.54E-05,7.31E-09,-17.451,1.5255,-2.61E+08,2.26E+08,0,8.22E-03,0,7.98E+08
10,1,1.15E-06,-1.73E-05,8.16E-09,-1.73E-05,-1.64E-05,-1.70E-05,8.16E-09,-16.788,1.1121,-15.244,-13.363,-16.788,1.1121,-7.99E+07,1.09E+08,-7.99E+07,1.09E+08,-7.40E+07,8.49E+07,0,8.24E-03,7.62E-07,3.34E-03,0,8.24E-03,0,8.71E+08,2.62E+05,8.71E+08,0,7.98E+08,-1.73E-05,8.16E-09,-16.788,1.1121,-7.99E+07,1.09E+08,0,8.24E-03,0,8.71E+08
