Unnamed: 0,Steps,Time [s],[A] Directional Deformation Flexible (Min) [m],[B] Directional Deformation Flexible (Max) [m],[C] Directional Deformation SiC (Min) [m],[D] Directional Deformation SiC (Max) [m],[E] Directional Deformation Asperity (Min) [m],[F] Directional Deformation Asperity (Max) [m],[G] Directional Velocity Flexible (Min) [m/s],[H] Directional Velocity Flexible (Max) [m/s],[I] Directional Velocity SiC (Min) [m/s],[J] Directional Velocity SiC (Max) [m/s],[K] Directional Velocity Asperity (Min) [m/s],[L] Directional Velocity Asperity (Max) [m/s],[M] Directional Acceleration Flexible (Min) [m/s²],[N] Directional Acceleration Flexible (Max) [m/s²],[O] Directional Acceleration SiC (Min) [m/s²],[P] Directional Acceleration SiC (Max) [m/s²],[Q] Directional Acceleration Asperity (Min) [m/s²],[R] Directional Acceleration Asperity (Max) [m/s²],[S] Equivalent Elastic Strain Flexible (Min) [m/m],[T] Equivalent Elastic Strain Flexible (Max) [m/m],[U] Equivalent Elastic Strain SiC (Min) [m/m],[V] Equivalent Elastic Strain SiC (Max) [m/m],[W] Equivalent Elastic Strain Asperity (Min) [m/m],[X] Equivalent Elastic Strain Asperity (Max) [m/m],[Y] Equivalent Stress Flexible (Min) [Pa],[Z] Equivalent Stress Flexible (Max) [Pa],[AA] Equivalent Stress SiC (Min) [Pa],[AB] Equivalent Stress SiC (Max) [Pa],[AC] Equivalent Stress Asperity (Min) [Pa],[AD] Equivalent Stress Asperity (Max) [Pa],[AE] Directional Deformation 4 (Min) [m],[AF] Directional Deformation 4 (Max) [m],[AG] Directional Velocity 4 (Min) [m/s],[AH] Directional Velocity 4 (Max) [m/s],[AI] Directional Acceleration (Min) [m/s²],[AJ] Directional Acceleration (Max) [m/s²],[AK] Equivalent Elastic Strain 4 (Min) [m/m],[AL] Equivalent Elastic Strain 4 (Max) [m/m],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa]
11,1,1.28E-06,-1.92E-05,8.92E-09,-1.92E-05,-1.81E-05,-1.91E-05,8.92E-09,-15.027,1.5487,-15.027,-13.247,-14.649,1.5487,-5.76E+07,8.56E+07,-5.76E+07,6.41E+07,-3.58E+07,8.56E+07,0,8.24E-03,7.49E-07,4.85E-03,0,8.24E-03,0,1.13E+09,2.80E+05,1.13E+09,0,8.35E+08,-1.92E-05,8.92E-09,-15.027,1.5487,-5.76E+07,8.56E+07,0,8.24E-03,0,1.13E+09
12,1,1.41E-06,-2.11E-05,6.88E-09,-2.11E-05,-1.99E-05,-2.11E-05,6.88E-09,-15.711,2.4181,-15.133,-13.663,-15.711,2.4181,-6.22E+07,4.73E+07,-6.22E+07,4.73E+07,-2.16E+07,3.23E+07,0,8.24E-03,7.01E-07,6.11E-03,0,8.24E-03,0,1.47E+09,2.27E+05,1.47E+09,0,8.61E+08,-2.11E-05,6.88E-09,-15.711,2.4181,-6.22E+07,4.73E+07,0,8.24E-03,0,1.47E+09
13,1,1.54E-06,-2.30E-05,1.03E-08,-2.30E-05,-2.17E-05,-2.30E-05,1.03E-08,-15.148,3.187,-14.949,-13.463,-15.148,3.187,-2.75E+08,1.08E+08,-2.75E+08,1.08E+08,-1.61E+08,1.07E+08,0,8.24E-03,7.42E-07,6.33E-03,0,8.24E-03,0,1.51E+09,3.21E+05,1.51E+09,0,8.83E+08,-2.30E-05,1.03E-08,-15.148,3.187,-2.75E+08,1.08E+08,0,8.24E-03,0,1.51E+09
14,1,1.67E-06,-2.49E-05,1.81E-08,-2.49E-05,-2.36E-05,-2.49E-05,1.81E-08,-18.678,0.79623,-14.956,-13.935,-18.678,0.79623,-7.88E+07,1.15E+08,-7.88E+07,1.15E+08,-2.73E+07,7.77E+07,0,8.23E-03,8.28E-07,5.84E-03,0,8.23E-03,0,1.55E+09,3.45E+05,1.55E+09,0,8.88E+08,-2.49E-05,1.81E-08,-18.678,0.79623,-7.88E+07,1.15E+08,0,8.23E-03,0,1.55E+09
15,1,1.80E-06,-2.68E-05,1.73E-08,-2.67E-05,-2.55E-05,-2.68E-05,1.73E-08,-17.856,1.7437,-14.814,-13.581,-17.856,1.7437,-5.61E+07,5.37E+07,-5.61E+07,5.37E+07,-2.44E+07,5.33E+07,0,8.23E-03,5.52E-07,5.10E-03,0,8.23E-03,0,1.56E+09,1.25E+05,1.56E+09,0,8.86E+08,-2.68E-05,1.73E-08,-17.856,1.7437,-5.61E+07,5.37E+07,0,8.23E-03,0,1.56E+09
16,1,1.92E-06,-2.86E-05,2.59E-07,-2.86E-05,-2.74E-05,-2.86E-05,2.59E-07,-18.088,3.1083,-14.985,-13.727,-18.088,3.1083,-2.96E+07,6.11E+07,-2.96E+07,6.11E+07,-1.86E+07,2.87E+07,0,8.24E-03,8.12E-07,4.43E-03,0,8.24E-03,0,1.53E+09,2.37E+05,1.53E+09,0,8.85E+08,-2.86E-05,2.59E-07,-18.088,3.1083,-2.96E+07,6.11E+07,0,8.24E-03,0,1.53E+09
17,1,2.05E-06,-3.05E-05,6.15E-07,-3.05E-05,-2.93E-05,-3.04E-05,6.15E-07,-18.044,3.1465,-14.896,-13.424,-18.044,3.1465,-1.88E+08,6.25E+08,-5.02E+07,6.25E+08,-1.88E+08,1.86E+07,0,8.23E-03,8.88E-07,4.81E-03,0,8.23E-03,0,1.50E+09,3.45E+05,1.50E+09,0,8.83E+08,-3.05E-05,6.15E-07,-18.044,3.1465,-1.88E+08,6.25E+08,0,8.23E-03,0,1.50E+09
18,1,2.18E-06,-3.23E-05,8.94E-07,-3.23E-05,-3.11E-05,-3.22E-05,8.94E-07,-15.956,2.5761,-15.265,-12.733,-15.956,2.5761,-1.46E+08,2.89E+08,-1.46E+08,2.50E+08,-1.25E+08,2.89E+08,0,8.21E-03,1.52E-06,4.68E-03,0,8.21E-03,0,1.51E+09,6.71E+05,1.51E+09,0,8.87E+08,-3.23E-05,8.94E-07,-15.956,2.5761,-1.46E+08,2.89E+08,0,8.21E-03,0,1.51E+09
19,1,2.31E-06,-3.42E-05,8.07E-07,-3.42E-05,-3.29E-05,-3.40E-05,8.07E-07,-15.007,1.664,-14.774,-13.268,-15.007,1.664,-1.10E+08,1.35E+08,-9.45E+07,1.35E+08,-1.10E+08,8.77E+07,0,8.21E-03,9.42E-07,4.60E-03,0,8.21E-03,0,1.51E+09,2.46E+05,1.51E+09,0,8.83E+08,-3.42E-05,8.07E-07,-15.007,1.664,-1.10E+08,1.35E+08,0,8.21E-03,0,1.51E+09
20,1,2.44E-06,-3.60E-05,1.04E-06,-3.60E-05,-3.47E-05,-3.57E-05,1.04E-06,-16.521,3.9134,-14.816,-13.64,-16.521,3.9134,-8.29E+07,5.44E+07,-6.23E+07,5.44E+07,-8.29E+07,3.74E+07,0,8.21E-03,9.12E-07,4.57E-03,0,8.21E-03,0,1.50E+09,2.97E+05,1.50E+09,0,8.82E+08,-3.60E-05,1.04E-06,-16.521,3.9134,-8.29E+07,5.44E+07,0,8.21E-03,0,1.50E+09
21,1,2.57E-06,-3.79E-05,1.32E-06,-3.79E-05,-3.65E-05,-3.75E-05,1.32E-06,-15.228,3.0483,-14.669,-13.064,-15.228,3.0483,-1.25E+08,2.61E+08,-1.25E+08,1.51E+08,-1.07E+08,2.61E+08,0,8.19E-03,9.27E-07,4.50E-03,0,8.19E-03,0,1.53E+09,3.93E+05,1.53E+09,0,8.82E+08,-3.79E-05,1.32E-06,-15.228,3.0483,-1.25E+08,2.61E+08,0,8.19E-03,0,1.53E+09
22,1,2.69E-06,-3.97E-05,1.43E-06,-3.97E-05,-3.83E-05,-3.92E-05,1.43E-06,-14.676,0.26836,-14.672,-8.0807,-14.676,0.26836,-7.42E+08,7.74E+08,-2.89E+08,7.74E+08,-7.42E+08,2.44E+08,0,8.18E-03,1.82E-06,4.52E-03,0,8.18E-03,0,1.59E+09,3.83E+05,1.59E+09,0,8.75E+08,-3.97E-05,1.43E-06,-14.676,0.26836,-7.42E+08,7.74E+08,0,8.18E-03,0,1.59E+09
23,1,2.82E-06,-4.15E-05,1.22E-06,-4.15E-05,-4.00E-05,-4.09E-05,1.22E-06,-15.888,0.50915,-14.956,-11.455,-15.888,0.50915,-3.27E+08,2.83E+08,-1.45E+08,2.83E+08,-3.27E+08,1.01E+08,0,8.18E-03,9.65E-07,4.33E-03,0,8.18E-03,0,1.70E+09,1.80E+05,1.70E+09,0,8.73E+08,-4.15E-05,1.22E-06,-15.888,0.50915,-3.27E+08,2.83E+08,0,8.18E-03,0,1.70E+09
24,1,2.95E-06,-4.33E-05,1.22E-06,-4.33E-05,-4.18E-05,-4.26E-05,1.22E-06,-16.525,1.2921,-14.173,-12.022,-16.525,1.2921,-7.13E+07,7.05E+07,-7.13E+07,6.19E+07,-6.66E+07,7.05E+07,0,8.19E-03,1.19E-06,4.11E-03,0,8.19E-03,0,1.76E+09,2.67E+05,1.76E+09,0,8.74E+08,-4.33E-05,1.22E-06,-16.525,1.2921,-7.13E+07,7.05E+07,0,8.19E-03,0,1.76E+09
25,1,3.08E-06,-4.51E-05,5.36E-07,-4.51E-05,-4.36E-05,-4.42E-05,5.36E-07,-15.903,1.9897,-14.454,-11.721,-15.903,1.9897,-2.09E+08,2.09E+08,-2.09E+08,2.09E+08,-1.23E+08,8.40E+07,0.00E+00,8.20E-03,1.65E-06,4.32E-03,0,8.20E-03,0,1.81E+09,7.10E+05,1.81E+09,0,8.80E+08,-4.51E-05,5.36E-07,-15.903,1.9897,-2.09E+08,2.09E+08,0,8.20E-03,0,1.81E+09
26,1,3.21E-06,-4.69E-05,2.45E-07,-4.69E-05,-4.53E-05,-4.58E-05,2.45E-07,-15.951,1.0211,-14.306,-12.312,-15.951,1.0211,-1.94E+08,1.41E+08,-1.94E+08,1.41E+08,-8.47E+07,6.63E+07,0.00E+00,8.20E-03,2.80E-06,5.30E-03,0,8.20E-03,0,1.96E+09,1.22E+06,1.96E+09,0,8.77E+08,-4.69E-05,2.45E-07,-15.951,1.0211,-1.94E+08,1.41E+08,0,8.20E-03,0,1.96E+09
27,1,3.34E-06,-4.86E-05,3.01E-08,-4.86E-05,-4.69E-05,-4.74E-05,3.01E-08,-15.121,1.0698,-13.965,-12.632,-15.121,1.0698,-1.57E+08,1.92E+08,-1.48E+08,1.92E+08,-1.57E+08,1.73E+08,0.00E+00,8.19E-03,1.77E-06,6.00E-03,0,8.19E-03,0,2.05E+09,6.50E+05,2.05E+09,0,8.75E+08,-4.86E-05,3.01E-08,-15.121,1.0698,-1.57E+08,1.92E+08,0,8.19E-03,0,2.05E+09
28,1,3.46E-06,-5.04E-05,3.05E-08,-5.04E-05,-4.86E-05,-4.91E-05,3.05E-08,-13.808,1.1194,-13.808,-12.348,-13.651,1.1194,-1.31E+08,1.07E+08,-1.31E+08,8.45E+07,-1.12E+08,1.07E+08,0.00E+00,8.21E-03,1.96E-06,6.10E-03,0,8.21E-03,0,2.06E+09,6.20E+05,2.06E+09,0,8.74E+08,-5.04E-05,3.05E-08,-13.808,1.1194,-1.31E+08,1.07E+08,0,8.21E-03,0,2.06E+09
29,1,3.59E-06,-5.21E-05,2.32E-08,-5.21E-05,-5.03E-05,-5.07E-05,2.32E-08,-15.326,1.7342,-13.522,-12.174,-15.326,1.7342,-1.33E+08,7.82E+07,-1.33E+08,6.65E+07,-7.77E+07,7.82E+07,0.00E+00,8.20E-03,1.99E-06,6.17E-03,0,8.20E-03,0,2.09E+09,6.41E+05,2.09E+09,0,8.78E+08,-5.21E-05,2.32E-08,-15.326,1.7342,-1.33E+08,7.82E+07,0,8.20E-03,0,2.09E+09
30,1,3.72E-06,-5.38E-05,2.80E-08,-5.38E-05,-5.20E-05,-5.22E-05,2.80E-08,-15.972,2.0508,-13.58,-12.322,-15.972,2.0508,-7.73E+07,5.85E+07,-7.73E+07,5.85E+07,-5.45E+07,2.55E+07,0.00E+00,8.20E-03,2.37E-06,6.33E-03,0,8.20E-03,0,2.14E+09,1.05E+06,2.14E+09,0,8.79E+08,-5.38E-05,2.80E-08,-15.972,2.0508,-7.73E+07,5.85E+07,0,8.20E-03,0,2.14E+09
31,1,3.85E-06,-5.55E-05,1.19E-07,-5.55E-05,-5.37E-05,-5.37E-05,1.19E-07,-15.366,1.6533,-13.288,-12.468,-15.366,1.6533,-8.17E+07,4.35E+07,-8.17E+07,4.22E+07,-2.63E+07,4.35E+07,0.00E+00,8.18E-03,2.09E-06,6.45E-03,0,8.18E-03,0,2.17E+09,7.29E+05,2.17E+09,0,8.80E+08,-5.55E-05,1.19E-07,-15.366,1.6533,-8.17E+07,4.35E+07,0,8.18E-03,0,2.17E+09
32,1,3.98E-06,-5.71E-05,4.19E-07,-5.71E-05,-5.53E-05,-5.53E-05,4.19E-07,-15.515,2.5773,-13.168,-12.551,-15.515,2.5773,-5.40E+07,5.85E+07,-5.40E+07,5.85E+07,-1.49E+07,2.23E+07,0.00E+00,8.16E-03,1.69E-06,6.60E-03,0,8.16E-03,0,2.21E+09,4.89E+05,2.21E+09,0,8.80E+08,-5.71E-05,4.19E-07,-15.515,2.5773,-5.40E+07,5.85E+07,0,8.16E-03,0,2.21E+09
33,1,4.11E-06,-5.88E-05,7.32E-07,-5.88E-05,-5.69E-05,-5.68E-05,7.32E-07,-15.337,2.473,-13.017,-12.425,-15.337,2.473,-6.70E+07,6.17E+07,-6.70E+07,6.17E+07,-1.25E+07,1.78E+07,0.00E+00,8.17E-03,2.75E-06,6.73E-03,0,8.17E-03,0,2.24E+09,8.78E+05,2.24E+09,0,8.81E+08,-5.88E-05,7.32E-07,-15.337,2.473,-6.70E+07,6.17E+07,0,8.17E-03,0,2.24E+09
34,1,4.23E-06,-6.04E-05,1.06E-06,-6.04E-05,-5.85E-05,-5.83E-05,1.06E-06,-14.893,2.732,-12.791,-12.329,-14.893,2.732,-3.80E+07,5.65E+07,-3.80E+07,5.65E+07,-1.57E+07,1.63E+07,0.00E+00,8.17E-03,2.29E-06,6.84E-03,0,8.17E-03,0,2.26E+09,8.67E+05,2.26E+09,0,8.82E+08,-6.04E-05,1.06E-06,-14.893,2.732,-3.80E+07,5.65E+07,0,8.17E-03,0,2.26E+09
35,1,4.36E-06,-6.20E-05,1.40E-06,-6.20E-05,-6.01E-05,-5.97E-05,1.40E-06,-14.362,2.2885,-12.697,-11.839,-14.362,2.2885,-3.18E+07,2.90E+07,-3.18E+07,2.90E+07,-1.28E+07,1.49E+07,0.00E+00,8.17E-03,1.85E-06,6.94E-03,0,8.17E-03,0,2.29E+09,7.47E+05,2.29E+09,0,8.81E+08,-6.20E-05,1.40E-06,-14.362,2.2885,-3.18E+07,2.90E+07,0,8.17E-03,0,2.29E+09
36,1,4.49E-06,-6.36E-05,1.66E-06,-6.36E-05,-6.17E-05,-6.12E-05,1.66E-06,-13.714,1.91,-12.433,-11.742,-13.714,1.91,-5.04E+07,5.23E+07,-5.04E+07,5.23E+07,-1.31E+07,1.19E+07,0.00E+00,8.17E-03,1.71E-06,7.00E-03,0,8.17E-03,0,2.29E+09,5.52E+05,2.29E+09,0,8.82E+08,-6.36E-05,1.66E-06,-13.714,1.91,-5.04E+07,5.23E+07,0,8.17E-03,0,2.29E+09
37,1,4.62E-06,-6.52E-05,1.88E-06,-6.52E-05,-6.32E-05,-6.27E-05,1.88E-06,-13.014,1.4204,-12.475,-10.409,-13.014,1.4204,-1.67E+08,9.35E+07,-1.67E+08,9.35E+07,-7.28E+07,8.45E+07,0.00E+00,8.17E-03,3.02E-06,7.02E-03,0,8.17E-03,0,2.31E+09,9.15E+05,2.31E+09,0,8.84E+08,-6.52E-05,1.88E-06,-13.014,1.4204,-1.67E+08,9.35E+07,0,8.17E-03,0,2.31E+09
38,1,4.75E-06,-6.68E-05,2.00E-06,-6.68E-05,-6.48E-05,-6.43E-05,2.00E-06,-12.741,1.1755,-12.5,-11.628,-12.741,1.1755,-1.09E+08,9.23E+07,-8.64E+07,9.23E+07,-1.09E+08,4.00E+07,0.00E+00,8.17E-03,3.00E-06,6.99E-03,0,8.17E-03,0,2.30E+09,1.24E+06,2.30E+09,0,8.85E+08,-6.68E-05,2.00E-06,-12.741,1.1755,-1.09E+08,9.23E+07,0,8.17E-03,0,2.30E+09
39,1,4.88E-06,-6.83E-05,2.15E-06,-6.83E-05,-6.63E-05,-6.57E-05,2.15E-06,-12.501,1.5713,-12.444,-11.213,-12.501,1.5713,-4.37E+07,5.13E+07,-4.37E+07,4.32E+07,-2.76E+07,5.13E+07,0.00E+00,8.16E-03,1.93E-06,6.80E-03,0,8.16E-03,0,2.23E+09,7.73E+05,2.23E+09,0,8.85E+08,-6.83E-05,2.15E-06,-12.501,1.5713,-4.37E+07,5.13E+07,0,8.16E-03,0,2.23E+09
40,1,5.00E-06,-6.98E-05,2.35E-06,-6.98E-05,-6.78E-05,-6.72E-05,2.35E-06,-12.487,1.9876,-11.865,-11.002,-12.487,1.9876,-6.95E+07,5.67E+07,-6.95E+07,5.67E+07,-2.15E+07,3.55E+07,0.00E+00,8.15E-03,1.91E-06,6.57E-03,0,8.15E-03,0,2.16E+09,6.15E+05,2.16E+09,0,8.85E+08,-6.98E-05,2.35E-06,-12.487,1.9876,-6.95E+07,5.67E+07,0,8.15E-03,0,2.16E+09
41,1,5.13E-06,-7.13E-05,2.61E-06,-7.13E-05,-6.93E-05,-6.87E-05,2.61E-06,-12.268,2.2209,-11.794,-11.083,-12.268,2.2209,-5.35E+07,5.28E+07,-5.35E+07,5.28E+07,-4.93E+07,4.25E+07,0.00E+00,8.14E-03,3.18E-06,6.33E-03,0,8.14E-03,0,2.07E+09,1.02E+06,2.07E+09,0,8.85E+08,-7.13E-05,2.61E-06,-12.268,2.2209,-5.35E+07,5.28E+07,0,8.14E-03,0,2.07E+09
42,1,5.26E-06,-7.28E-05,2.81E-06,-7.28E-05,-7.08E-05,-7.01E-05,2.81E-06,-11.989,2.1295,-11.557,-10.918,-11.989,2.1295,-2.41E+07,7.26E+07,-2.41E+07,7.26E+07,-1.23E+07,2.76E+07,0.00E+00,8.13E-03,3.27E-06,6.14E-03,0,8.13E-03,0,2.00E+09,1.12E+06,2.00E+09,0,8.85E+08,-7.28E-05,2.81E-06,-11.989,2.1295,-2.41E+07,7.26E+07,0,8.13E-03,0,2.00E+09
43,1,5.39E-06,-7.43E-05,3.01E-06,-7.43E-05,-7.23E-05,-7.16E-05,3.01E-06,-12.684,1.7104,-11.474,-10.932,-12.684,1.7104,-7.49E+07,6.41E+07,-7.49E+07,6.41E+07,-1.57E+07,2.47E+07,0.00E+00,8.13E-03,2.77E-06,5.89E-03,0,8.13E-03,0,1.91E+09,1.05E+06,1.91E+09,0,8.85E+08,-7.43E-05,3.01E-06,-12.684,1.7104,-7.49E+07,6.41E+07,0,8.13E-03,0,1.91E+09
44,1,5.52E-06,-7.57E-05,3.23E-06,-7.57E-05,-7.37E-05,-7.30E-05,3.23E-06,-12.081,1.5097,-11.236,-10.756,-12.081,1.5097,-2.99E+07,7.13E+07,-2.99E+07,7.13E+07,-1.64E+07,1.49E+07,0.00E+00,8.13E-03,1.80E-06,5.86E-03,0,8.13E-03,0,1.80E+09,5.97E+05,1.80E+09,0,8.84E+08,-7.57E-05,3.23E-06,-12.081,1.5097,-2.99E+07,7.13E+07,0,8.13E-03,0,1.80E+09
45,1,5.65E-06,-7.72E-05,3.39E-06,-7.72E-05,-7.52E-05,-7.44E-05,3.39E-06,-11.997,1.2934,-11.122,-10.616,-11.997,1.2934,-4.01E+07,3.71E+07,-4.01E+07,3.71E+07,-1.05E+07,1.09E+07,0.00E+00,8.12E-03,2.91E-06,5.85E-03,0,8.12E-03,0,1.74E+09,9.05E+05,1.74E+09,0,8.84E+08,-7.72E-05,3.39E-06,-11.997,1.2934,-4.01E+07,3.71E+07,0,8.12E-03,0,1.74E+09
46,1,5.78E-06,-7.86E-05,3.52E-06,-7.86E-05,-7.66E-05,-7.58E-05,3.52E-06,-11.765,1.4331,-10.955,-10.44,-11.765,1.4331,-4.11E+07,5.80E+07,-4.11E+07,5.80E+07,-1.08E+07,1.46E+07,0.00E+00,8.12E-03,3.06E-06,5.83E-03,0,8.12E-03,0,1.80E+09,1.17E+06,1.80E+09,0,8.84E+08,-7.86E-05,3.52E-06,-11.765,1.4331,-4.11E+07,5.80E+07,0,8.12E-03,0,1.80E+09
47,1,5.90E-06,-7.99E-05,3.73E-06,-7.99E-05,-7.80E-05,-7.71E-05,3.73E-06,-11.554,1.4668,-10.774,-10.328,-11.554,1.4668,-3.73E+07,3.50E+07,-3.73E+07,3.50E+07,-1.31E+07,1.11E+07,0.00E+00,8.12E-03,3.20E-06,5.82E-03,0,8.12E-03,0,1.85E+09,1.20E+06,1.85E+09,0,8.84E+08,-7.99E-05,3.73E-06,-11.554,1.4668,-3.73E+07,3.50E+07,0,8.12E-03,0,1.85E+09
