Unnamed: 0,Steps,Time [s],[A] Directional Deformation Flexible (Min) [m],[B] Directional Deformation Flexible (Max) [m],[C] Directional Deformation SiC (Min) [m],[D] Directional Deformation SiC (Max) [m],[E] Directional Deformation Asperity (Min) [m],[F] Directional Deformation Asperity (Max) [m],[I] Directional Velocity SiC (Min) [m/s],[J] Directional Velocity SiC (Max) [m/s],[K] Directional Velocity Asperity (Min) [m/s],[L] Directional Velocity Asperity (Max) [m/s],[M] Directional Acceleration Flexible (Min) [m/s²],[N] Directional Acceleration Flexible (Max) [m/s²],[O] Directional Acceleration SiC (Min) [m/s²],[P] Directional Acceleration SiC (Max) [m/s²],[Q] Directional Acceleration Asperity (Min) [m/s²],[R] Directional Acceleration Asperity (Max) [m/s²],[S] Equivalent Elastic Strain Flexible (Min) [m/m],[T] Equivalent Elastic Strain Flexible (Max) [m/m],[U] Equivalent Elastic Strain SiC (Min) [m/m],[V] Equivalent Elastic Strain SiC (Max) [m/m],[W] Equivalent Elastic Strain Asperity (Min) [m/m],[X] Equivalent Elastic Strain Asperity (Max) [m/m],[Y] Equivalent Stress Flexible (Min) [Pa],[Z] Equivalent Stress Flexible (Max) [Pa],[AA] Equivalent Stress SiC (Min) [Pa],[AB] Equivalent Stress SiC (Max) [Pa],[AC] Equivalent Stress Asperity (Min) [Pa],[AD] Equivalent Stress Asperity (Max) [Pa],[AE] Directional Deformation 4 (Min) [m],[AF] Directional Deformation 4 (Max) [m],[AG] Directional Velocity 4 (Min) [m/s],[AH] Directional Velocity 4 (Max) [m/s],[AI] Directional Acceleration (Min) [m/s²],[AJ] Directional Acceleration (Max) [m/s²],[AK] Equivalent Elastic Strain 4 (Min) [m/m],[AL] Equivalent Elastic Strain 4 (Max) [m/m],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa]
11,1,1.41E-06,-4.91E-05,1.17E-05,-4.91E-05,1.17E-05,-4.06E-05,1.03E-07,-89.959,180.67,-40.319,7.5682,-1.36E+09,1.14E+09,-1.36E+09,1.14E+09,-4.32E+08,4.09E+08,0.00E+00,1.27E-02,3.46E-06,1.07E-02,0.00E+00,1.27E-02,0,3.96E+09,1.03E+06,3.96E+09,0.00E+00,1.27E+09,-4.91E-05,1.17E-05,-9.00E+01,1.81E+02,-1.36E+09,1.14E+09,0.00E+00,1.27E-02,0,3.96E+09,0,1.86E+09
12,1,1.55E-06,-5.40E-05,1.05E-05,-5.40E-05,1.05E-05,-4.79E-05,8.40E-08,-93.625,-26.664,-51.521,14.142,-9.52E+08,9.99E+08,-9.52E+08,9.99E+08,-3.53E+08,6.47E+08,0.00E+00,1.80E-02,2.38E-06,1.80E-02,0.00E+00,1.28E-02,0,7.56E+09,5.26E+05,7.56E+09,0.00E+00,1.28E+09,-5.40E-05,1.05E-05,-9.36E+01,1.41E+01,-9.52E+08,9.99E+08,0.00E+00,1.80E-02,0,7.56E+09,0,1.90E+09
13,1,1.69E-06,-5.88E-05,6.53E-07,-5.88E-05,6.53E-07,-5.55E-05,9.99E-08,-93.625,-16.88,-44.9,11.869,-8.04E+08,9.06E+08,-8.04E+08,9.06E+08,-4.77E+08,4.38E+08,0.00E+00,1.97E-02,1.15E-06,1.97E-02,0.00E+00,1.28E-02,0,8.37E+09,3.19E+05,8.37E+09,0.00E+00,1.30E+09,-5.88E-05,6.53E-07,-9.36E+01,1.19E+01,-8.04E+08,9.06E+08,0.00E+00,1.97E-02,0,8.37E+09,0,1.92E+09
14,1,1.83E-06,-6.35E-05,1.15E-07,-6.35E-05,-9.19E-06,-6.16E-05,1.15E-07,-93.625,-13.816,-35.942,6.3642,-4.29E+08,6.53E+08,-4.29E+08,6.53E+08,-2.87E+08,3.25E+08,0.00E+00,1.98E-02,1.47E-06,1.98E-02,0.00E+00,1.28E-02,0,8.47E+09,1.78E+05,8.47E+09,0.00E+00,1.33E+09,-6.35E-05,1.15E-07,-9.36E+01,6.36E+00,-4.29E+08,6.53E+08,0.00E+00,1.98E-02,0,8.47E+09,0,1.94E+09
15,1,1.98E-06,-6.83E-05,1.07E-07,-6.83E-05,-1.90E-05,-6.67E-05,1.07E-07,-93.625,-13.816,-37.145,4.2271,-4.10E+08,4.01E+08,-4.10E+08,4.01E+08,-2.04E+08,2.88E+08,0.00E+00,2.02E-02,1.70E-06,2.02E-02,0.00E+00,1.28E-02,0,8.70E+09,4.04E+05,8.70E+09,0.00E+00,1.35E+09,-6.83E-05,1.07E-07,-9.36E+01,4.23E+00,-4.10E+08,4.01E+08,0.00E+00,2.02E-02,0,8.70E+09,0,1.95E+09
16,1,2.12E-06,-7.30E-05,1.36E-07,-7.30E-05,-3.23E-05,-7.18E-05,1.36E-07,-126.33,1.45,-36.398,5.0796,-3.47E+08,8.41E+08,-3.47E+08,8.41E+08,-2.74E+08,2.29E+08,0.00E+00,2.04E-02,2.53E-06,2.04E-02,0.00E+00,1.28E-02,0,8.83E+09,7.04E+05,8.83E+09,0.00E+00,1.36E+09,-7.30E-05,1.36E-07,-1.26E+02,5.08E+00,-3.47E+08,8.41E+08,0.00E+00,2.04E-02,0,8.83E+09,0,1.95E+09
17,1,2.26E-06,-7.77E-05,1.37E-07,-7.77E-05,-5.01E-05,-7.68E-05,1.37E-07,-126.33,1.45,-36.275,5.5595,-4.28E+08,6.23E+08,-4.28E+08,6.23E+08,-2.77E+08,2.49E+08,0.00E+00,2.02E-02,3.42E-06,2.02E-02,0.00E+00,1.28E-02,0,8.77E+09,1.29E+06,8.77E+09,0.00E+00,1.37E+09,-7.77E-05,1.37E-07,-1.26E+02,5.56E+00,-4.28E+08,6.23E+08,0.00E+00,2.02E-02,0,8.77E+09,0,1.95E+09
18,1,2.40E-06,-8.23E-05,1.51E-07,-8.23E-05,-6.28E-05,-8.17E-05,1.51E-07,-126.33,1.45,-34.481,5.9958,-8.64E+08,3.90E+08,-8.64E+08,3.90E+08,-1.94E+08,2.53E+08,0.00E+00,1.98E-02,2.44E-06,1.98E-02,0.00E+00,1.28E-02,0,8.65E+09,6.75E+05,8.65E+09,0.00E+00,1.39E+09,-8.23E-05,1.51E-07,-1.26E+02,6.00E+00,-8.64E+08,3.90E+08,0.00E+00,1.98E-02,0,8.65E+09,0,1.93E+09
19,1,2.54E-06,-8.69E-05,1.20E-07,-8.69E-05,-6.32E-05,-8.66E-05,1.20E-07,-114.38,1.45,-33.959,10.482,-8.33E+09,4.84E+08,-8.33E+09,4.84E+08,-1.75E+08,3.62E+08,0.00E+00,1.97E-02,1.65E-06,1.97E-02,0.00E+00,1.28E-02,0,8.60E+09,2.89E+05,8.60E+09,0.00E+00,1.39E+09,-8.69E-05,1.20E-07,-1.14E+02,1.05E+01,-8.33E+09,4.84E+08,0.00E+00,1.97E-02,0,8.60E+09,0,1.91E+09
20,1,2.68E-06,-9.14E-05,1.41E-06,-9.14E-05,-6.30E-05,-9.14E-05,1.41E-06,-61.293,1.45,-35.241,11.196,-4.83E+08,7.97E+08,-4.83E+08,7.97E+08,-1.67E+08,1.86E+08,0.00E+00,1.95E-02,1.30E-06,1.95E-02,0.00E+00,1.28E-02,0,8.58E+09,3.63E+05,8.58E+09,0.00E+00,1.39E+09,-9.14E-05,1.41E-06,-6.13E+01,1.12E+01,-4.83E+08,7.97E+08,0.00E+00,1.95E-02,0,8.58E+09,0,1.90E+09
