Unnamed: 0,Steps,Time [s],[A] Directional Deformation Flexible (Min) [m],[B] Directional Deformation Flexible (Max) [m],[C] Directional Deformation SiC (Min) [m],[D] Directional Deformation SiC (Max) [m],[E] Directional Deformation Asperity (Min) [m],[F] Directional Deformation Asperity (Max) [m],[G] Directional Velocity Flexible (Min) [m/s],[H] Directional Velocity Flexible (Max) [m/s],[I] Directional Velocity SiC (Min) [m/s],[J] Directional Velocity SiC (Max) [m/s],[K] Directional Velocity Asperity (Min) [m/s],[L] Directional Velocity Asperity (Max) [m/s],[M] Directional Acceleration Flexible (Min) [m/s²],[N] Directional Acceleration Flexible (Max) [m/s²],[O] Directional Acceleration SiC (Min) [m/s²],[P] Directional Acceleration SiC (Max) [m/s²],[Q] Directional Acceleration Asperity (Min) [m/s²],[R] Directional Acceleration Asperity (Max) [m/s²],[S] Equivalent Elastic Strain Flexible (Min) [m/m],[T] Equivalent Elastic Strain Flexible (Max) [m/m],[U] Equivalent Elastic Strain SiC (Min) [m/m],[V] Equivalent Elastic Strain SiC (Max) [m/m],[W] Equivalent Elastic Strain Asperity (Min) [m/m],[X] Equivalent Elastic Strain Asperity (Max) [m/m],[Y] Equivalent Stress Flexible (Min) [Pa],[Z] Equivalent Stress Flexible (Max) [Pa],[AA] Equivalent Stress SiC (Min) [Pa],[AB] Equivalent Stress SiC (Max) [Pa],[AC] Equivalent Stress Asperity (Min) [Pa],[AD] Equivalent Stress Asperity (Max) [Pa],[AE] Directional Deformation 4 (Min) [m],[AF] Directional Deformation 4 (Max) [m],[AG] Directional Velocity 4 (Min) [m/s],[AH] Directional Velocity 4 (Max) [m/s],[AI] Directional Acceleration (Min) [m/s²],[AJ] Directional Acceleration (Max) [m/s²],[AK] Equivalent Elastic Strain 4 (Min) [m/m],[AL] Equivalent Elastic Strain 4 (Max) [m/m],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa],Force (min),Force (max),,Momentum
58,1,7.32E-06,-8.74E-05,1.58E-06,-8.74E-05,-8.43E-05,-8.37E-05,1.58E-06,-6.4982,1.0796,-6.1736,-5.7702,-6.4982,1.0796,-1.13E+07,2.77E+07,-1.13E+07,2.77E+07,-9.90E+06,1.05E+07,0,1.29E-02,3.54E-06,8.15E-03,0,1.29E-02,0,2.56E+09,1.11E+06,2.56E+09,0,1.41E+09,-8.74E-05,1.58E-06,-6.4982,1.0796,-1.13E+07,2.77E+07,0,1.29E-02,0,2.56E+09,-5.10E-06,1.25E-05,,-2.77E-10
59,1,7.44E-06,-8.82E-05,1.69E-06,-8.82E-05,-8.50E-05,-8.44E-05,1.69E-06,-7.0333,0.73381,-5.9101,-5.1021,-7.0333,0.73381,-4.83E+07,6.78E+07,-4.83E+07,2.79E+07,-4.22E+07,6.78E+07,0,1.29E-02,4.76E-06,8.26E-03,0,1.29E-02,0,2.57E+09,1.82E+06,2.57E+09,0,1.41E+09,-8.82E-05,1.69E-06,-7.0333,0.73381,-4.83E+07,6.78E+07,0,1.29E-02,0,2.57E+09,-2.18E-05,1.26E-05,,-2.79E-10
60,1,7.57E-06,-8.89E-05,1.75E-06,-8.89E-05,-8.57E-05,-8.52E-05,1.75E-06,-6.5693,0.60505,-5.6413,-4.99,-6.5693,0.60505,-1.33E+07,2.66E+07,-1.03E+07,1.58E+07,-1.33E+07,2.66E+07,0,1.29E-02,5.67E-06,8.43E-03,0,1.29E-02,0,2.56E+09,2.40E+06,2.56E+09,0,1.41E+09,-8.89E-05,1.75E-06,-6.5693,0.60505,-1.33E+07,2.66E+07,0,1.29E-02,0,2.56E+09,-4.65E-06,7.13E-06,,-2.81E-10
61,1,7.70E-06,-8.96E-05,1.79E-06,-8.96E-05,-8.64E-05,-8.58E-05,1.79E-06,-6.2606,0.39767,-5.3816,-4.7879,-6.2606,0.39767,-1.91E+07,3.09E+07,-1.91E+07,2.52E+07,-8.24E+06,3.09E+07,0,1.29E-02,4.78E-06,8.58E-03,0,1.29E-02,0,2.55E+09,1.82E+06,2.55E+09,0,1.41E+09,-8.96E-05,1.79E-06,-6.2606,0.39767,-1.91E+07,3.09E+07,0,1.29E-02,0,2.55E+09,-8.62E-06,1.14E-05,,-2.82E-10
62,1,7.83E-06,-9.03E-05,1.83E-06,-9.03E-05,-8.70E-05,-8.65E-05,1.83E-06,-6.0108,0.58054,-5.122,-4.4776,-6.0108,0.58054,-1.41E+07,6.86E+07,-1.41E+07,6.86E+07,-7.24E+06,1.73E+07,0,1.29E-02,3.66E-06,8.72E-03,0,1.29E-02,0,2.54E+09,1.13E+06,2.54E+09,0,1.41E+09,-9.03E-05,1.83E-06,-6.0108,0.58054,-1.41E+07,6.86E+07,0,1.29E-02,0,2.54E+09,-6.37E-06,3.10E-05,,-2.83E-10
63,1,7.96E-06,-9.09E-05,1.93E-06,-9.09E-05,-8.76E-05,-8.71E-05,1.93E-06,-5.6158,0.84654,-4.8345,-1.8736,-5.6158,0.84654,-1.20E+08,1.96E+08,-3.89E+07,1.96E+08,-1.20E+08,2.50E+07,0,1.29E-02,4.27E-06,8.85E-03,0,1.29E-02,0,2.58E+09,1.81E+06,2.58E+09,0,1.41E+09,-9.09E-05,1.93E-06,-5.6158,0.84654,-1.20E+08,1.96E+08,0,1.29E-02,0,2.58E+09,-1.76E-05,8.85E-05,,-2.87E-10
64,1,8.09E-06,-9.15E-05,1.90E-06,-9.15E-05,-8.82E-05,-8.77E-05,1.90E-06,-5.1322,0.77718,-4.5744,-3.8331,-5.1322,0.77718,-5.68E+07,4.69E+07,-5.68E+07,3.51E+07,-3.92E+07,4.69E+07,0,1.29E-02,5.92E-06,8.97E-03,0,1.29E-02,0,2.63E+09,2.36E+06,2.63E+09,0,1.41E+09,-9.15E-05,1.90E-06,-5.1322,0.77718,-5.68E+07,4.69E+07,0,1.29E-02,0,2.63E+09,-2.56E-05,1.58E-05,,-2.99E-10
65,1,8.21E-06,-9.21E-05,1.81E-06,-9.21E-05,-8.87E-05,-8.82E-05,1.81E-06,-4.6318,0.67376,-4.2909,-3.5501,-4.6318,0.67376,-6.10E+07,5.34E+07,-1.57E+07,5.34E+07,-6.10E+07,3.75E+07,0,1.29E-02,5.75E-06,9.07E-03,0,1.29E-02,0,2.65E+09,2.25E+06,2.65E+09,0,1.41E+09,-9.21E-05,1.81E-06,-4.6318,0.67376,-6.10E+07,5.34E+07,0,1.29E-02,0,2.65E+09,-7.09E-06,2.41E-05,,-3.00E-10
66,1,8.34E-06,-9.26E-05,1.59E-06,-9.26E-05,-8.92E-05,-8.87E-05,1.59E-06,-4.197,0.2815,-3.9892,-3.1653,-4.197,0.2815,-2.24E+07,2.57E+07,-2.24E+07,2.57E+07,-1.70E+07,1.51E+07,0,1.29E-02,4.40E-06,9.08E-03,0,1.29E-02,0,2.66E+09,1.58E+06,2.66E+09,0,1.41E+09,-9.26E-05,1.59E-06,-4.197,0.2815,-2.24E+07,2.57E+07,0,1.29E-02,0,2.66E+09,-1.01E-05,1.16E-05,,-3.04E-10
67,1,8.47E-06,-9.31E-05,1.32E-06,-9.31E-05,-8.96E-05,-8.92E-05,1.32E-06,-3.7964,0.33353,-3.7192,-3.0109,-3.7964,0.33353,-2.53E+07,1.52E+07,-2.53E+07,1.52E+07,-2.05E+07,1.44E+07,0,1.29E-02,4.16E-06,9.10E-03,0,1.29E-02,0,2.66E+09,1.68E+06,2.66E+09,0,1.41E+09,-9.31E-05,1.32E-06,-3.7964,0.33353,-2.53E+07,1.52E+07,0,1.29E-02,0,2.66E+09,-1.14E-05,6.86E-06,,-3.05E-10
68,1,8.60E-06,-9.36E-05,1.06E-06,-9.36E-05,-9.00E-05,-8.96E-05,1.06E-06,-3.456,0.18993,-3.456,-2.7656,-3.4278,0.18993,-1.32E+07,2.03E+07,-1.32E+07,2.03E+07,-1.12E+07,1.88E+07,0,1.29E-02,4.38E-06,9.10E-03,0,1.29E-02,0,2.65E+09,1.56E+06,2.65E+09,0,1.41E+09,-9.36E-05,1.06E-06,-3.456,0.18993,-1.32E+07,2.03E+07,0,1.29E-02,0,2.65E+09,-5.96E-06,9.17E-06,,-3.06E-10
69,1,8.73E-06,-9.40E-05,8.59E-07,-9.40E-05,-9.04E-05,-9.00E-05,8.59E-07,-3.8458,0.25625,-3.189,-2.4908,-3.8458,0.25625,-1.51E+07,2.06E+07,-1.50E+07,2.01E+07,-1.51E+07,2.06E+07,0,1.29E-02,5.67E-06,9.09E-03,0,1.29E-02,0,2.64E+09,2.18E+06,2.64E+09,0,1.41E+09,-9.40E-05,8.59E-07,-3.8458,0.25625,-1.51E+07,2.06E+07,0,1.29E-02,0,2.64E+09,-6.77E-06,9.08E-06,,-3.07E-10
70,1,8.86E-06,-9.44E-05,7.13E-07,-9.44E-05,-9.08E-05,-9.03E-05,7.13E-07,-3.2219,0.42454,-2.8886,-2.208,-3.2219,0.42454,-3.66E+07,1.85E+07,-3.66E+07,1.85E+07,-8.75E+06,1.68E+07,0,1.29E-02,5.27E-06,9.01E-03,0,1.29E-02,0,2.63E+09,1.98E+06,2.63E+09,0,1.41E+09,-9.44E-05,7.13E-07,-3.2219,0.42454,-3.66E+07,1.85E+07,0,1.29E-02,0,2.63E+09,-1.65E-05,8.35E-06,,-3.08E-10
71,1,8.98E-06,-9.47E-05,5.78E-07,-9.47E-05,-9.11E-05,-9.06E-05,5.78E-07,-3.086,0.49243,-2.58,-2.0434,-3.086,0.49243,-1.94E+07,1.69E+07,-1.94E+07,1.69E+07,-1.08E+07,8.55E+06,0,1.29E-02,4.72E-06,8.97E-03,0,1.29E-02,0,2.62E+09,1.73E+06,2.62E+09,0,1.41E+09,-9.47E-05,5.78E-07,-3.086,0.49243,-1.94E+07,1.69E+07,0,1.29E-02,0,2.62E+09,-8.76E-06,7.63E-06,,-3.09E-10
72,1,9.11E-06,-9.51E-05,4.59E-07,-9.51E-05,-9.13E-05,-9.09E-05,4.59E-07,-2.6939,0.41679,-2.2761,-1.7775,-2.6939,0.41679,-9.72E+06,2.27E+07,-9.72E+06,2.27E+07,-7.58E+06,1.10E+07,0,1.29E-02,4.98E-06,8.91E-03,0,1.29E-02,0,2.62E+09,2.04E+06,2.62E+09,0,1.41E+09,-9.51E-05,4.59E-07,-2.6939,0.41679,-9.72E+06,2.27E+07,0,1.29E-02,0,2.62E+09,-4.39E-06,1.03E-05,,-3.10E-10
73,1,9.24E-06,-9.53E-05,3.66E-07,-9.53E-05,-9.16E-05,-9.12E-05,3.66E-07,-2.0596,0.30286,-1.9877,-1.4578,-2.0596,0.30286,-3.23E+07,1.89E+07,-3.23E+07,1.89E+07,-1.01E+07,1.70E+07,0,1.29E-02,5.10E-06,8.88E-03,0,1.29E-02,0,2.62E+09,2.21E+06,2.62E+09,0,1.41E+09,-9.53E-05,3.66E-07,-2.0596,0.30286,-3.23E+07,1.89E+07,0,1.29E-02,0,2.62E+09,-1.46E-05,8.53E-06,,-3.12E-10
74,1,9.37E-06,-9.56E-05,3.09E-07,-9.56E-05,-9.18E-05,-9.14E-05,3.09E-07,-1.7587,0.23748,-1.6904,-1.2282,-1.7587,0.23748,-2.70E+07,1.19E+07,-2.70E+07,1.19E+07,-1.14E+07,1.11E+07,0,1.29E-02,5.48E-06,8.84E-03,0,1.29E-02,0,2.61E+09,2.06E+06,2.61E+09,0,1.41E+09,-9.56E-05,3.09E-07,-1.7587,0.23748,-2.70E+07,1.19E+07,0,1.29E-02,0,2.61E+09,-1.22E-05,5.37E-06,,-3.13E-10
75,1,9.50E-06,-9.58E-05,2.75E-07,-9.58E-05,-9.19E-05,-9.16E-05,2.75E-07,-1.4014,0.20604,-1.4014,-0.9404,-1.369,0.20604,-8.80E+06,2.28E+07,-6.86E+06,2.28E+07,-8.80E+06,9.35E+06,0,1.29E-02,4.88E-06,8.82E-03,0,1.29E-02,0,2.61E+09,1.80E+06,2.61E+09,0,1.41E+09,-9.58E-05,2.75E-07,-1.4014,0.20604,-8.80E+06,2.28E+07,0,1.29E-02,0,2.61E+09,-3.10E-06,1.03E-05,,-3.13E-10
76,1,9.63E-06,-9.59E-05,2.34E-07,-9.59E-05,-9.21E-05,-9.17E-05,2.34E-07,-1.09,0.18446,-1.09,-0.6361,-1.0662,0.18446,-9.71E+06,1.25E+07,-9.71E+06,1.25E+07,-5.75E+06,8.17E+06,0,1.29E-02,4.42E-06,8.83E-03,0,1.29E-02,0,2.61E+09,1.59E+06,2.61E+09,0,1.41E+09,-9.59E-05,2.34E-07,-1.09,0.18446,-9.71E+06,1.25E+07,0,1.29E-02,0,2.61E+09,-4.38E-06,5.64E-06,,-3.15E-10
77,1,9.76E-06,-9.60E-05,2.00E-07,-9.60E-05,-9.22E-05,-9.18E-05,2.00E-07,-0.79281,0.25081,-0.79281,-0.35677,-0.62053,0.25081,-9.51E+07,2.21E+07,-9.51E+07,2.21E+07,-8.96E+06,1.50E+07,0,1.29E-02,5.46E-06,8.82E-03,0,1.29E-02,0,2.61E+09,2.17E+06,2.61E+09,0,1.40E+09,-9.60E-05,2.00E-07,-0.79281,0.25081,-9.51E+07,2.21E+07,0,1.29E-02,0,2.61E+09,-4.29E-05,9.98E-06,,-3.16E-10
78,1,9.88E-06,-9.61E-05,2.12E-07,-9.61E-05,-9.22E-05,-9.18E-05,2.12E-07,-0.5155,0.38622,-0.5155,-6.76E-02,-0.35116,0.38622,-6.26E+06,3.46E+07,-6.26E+06,3.46E+07,-4.93E+06,8.17E+06,0,1.29E-02,5.34E-06,8.81E-03,0,1.29E-02,0,2.61E+09,2.01E+06,2.61E+09,0,1.41E+09,-9.61E-05,2.12E-07,-0.5155,0.38622,-6.26E+06,3.46E+07,0,1.29E-02,0,2.61E+09,-2.83E-06,1.56E-05,,-3.17E-10
79,1,1.00E-05,-9.62E-05,2.66E-07,-9.62E-05,-9.22E-05,-9.18E-05,2.66E-07,-0.23036,0.47015,-0.23036,0.23415,-0.19626,0.47015,-2.09E+07,9.08E+06,-2.09E+07,9.08E+06,-7.55E+06,7.91E+06,0,1.29E-02,4.94E-06,8.80E-03,0,1.29E-02,0,2.61E+09,1.79E+06,2.61E+09,0,1.41E+09,-9.62E-05,2.66E-07,-0.23036,0.47015,-2.09E+07,9.08E+06,0,1.29E-02,0,2.61E+09,-9.44E-06,4.10E-06,,-3.19E-10
80,1,1.01E-05,-9.62E-05,2.89E-07,-9.62E-05,-9.22E-05,-9.18E-05,2.89E-07,-0.19692,0.54074,6.58E-02,0.54074,-0.19692,0.49969,-3.44E+07,1.46E+07,-3.44E+07,7.67E+06,-7.99E+06,1.46E+07,0,1.29E-02,5.10E-06,8.80E-03,0,1.29E-02,0,2.60E+09,1.86E+06,2.60E+09,0,1.40E+09,-9.62E-05,2.89E-07,-0.19692,0.54074,-3.44E+07,1.46E+07,0,1.29E-02,0,2.60E+09,-1.55E-05,3.46E-06,,-3.19E-10
81,1,1.03E-05,-9.61E-05,3.15E-07,-9.61E-05,-9.21E-05,-9.18E-05,3.15E-07,-0.20945,0.84921,0.38042,0.84921,-0.20945,0.60613,-6.31E+07,1.72E+07,-6.31E+07,1.72E+07,-6.79E+06,7.85E+06,0,1.28E-02,6.43E-06,8.77E-03,0,1.28E-02,0,2.59E+09,2.60E+06,2.59E+09,0,1.40E+09,-9.61E-05,3.15E-07,-0.20945,0.84921,-6.31E+07,1.72E+07,0,1.28E-02,0,2.59E+09,-2.85E-05,7.77E-06,,-3.20E-10
82,1,1.04E-05,-9.61E-05,3.43E-07,-9.61E-05,-9.21E-05,-9.17E-05,3.43E-07,-0.21486,1.1432,0.44135,1.1432,-0.21486,0.8536,-7.16E+07,3.82E+07,-7.16E+07,3.82E+07,-1.54E+07,7.28E+06,0,1.27E-02,5.69E-06,8.71E-03,0,1.27E-02,0,2.57E+09,2.33E+06,2.57E+09,0,1.39E+09,-9.61E-05,3.43E-07,-0.21486,1.1432,-7.16E+07,3.82E+07,0,1.27E-02,0,2.57E+09,-3.23E-05,1.72E-05,,-3.21E-10
83,1,1.05E-05,-9.60E-05,4.04E-07,-9.60E-05,-9.20E-05,-9.16E-05,4.04E-07,-0.22478,1.4332,0.38398,1.4332,-0.22478,1.0872,-6.09E+07,9.81E+07,-6.09E+07,9.81E+07,-1.29E+07,1.07E+07,0,1.26E-02,4.92E-06,8.64E-03,0,1.26E-02,0,2.55E+09,1.80E+06,2.55E+09,0,1.38E+09,-9.60E-05,4.04E-07,-0.22478,1.4332,-6.09E+07,9.81E+07,0,1.26E-02,0,2.55E+09,-2.75E-05,4.43E-05,,-3.22E-10
84,1,1.07E-05,-9.58E-05,4.73E-07,-9.58E-05,-9.18E-05,-9.14E-05,4.73E-07,-0.19021,1.7255,0.96089,1.7255,-0.19021,1.3571,-6.44E+07,6.28E+07,-6.44E+07,6.28E+07,-6.74E+06,1.27E+07,0,1.25E-02,3.94E-06,8.57E-03,0,1.25E-02,0,2.53E+09,1.63E+06,2.53E+09,0,1.37E+09,-9.58E-05,4.73E-07,-0.19021,1.7255,-6.44E+07,6.28E+07,0,1.25E-02,0,2.53E+09,-2.91E-05,2.84E-05,,-3.31E-10
85,1,1.08E-05,-9.56E-05,5.84E-07,-9.56E-05,-9.16E-05,-9.13E-05,5.84E-07,-0.2169,2.0131,1.4556,2.0131,-0.2169,1.6704,-1.25E+07,3.45E+07,-1.25E+07,3.45E+07,-7.52E+06,1.48E+07,0,1.25E-02,4.78E-06,8.50E-03,0,1.25E-02,0,2.51E+09,1.79E+06,2.51E+09,0,1.35E+09,-9.56E-05,5.84E-07,-0.2169,2.0131,-1.25E+07,3.45E+07,0,1.25E-02,0,2.51E+09,-5.64E-06,1.56E-05,,-3.34E-10
86,1,1.09E-05,-9.54E-05,7.21E-07,-9.54E-05,-9.14E-05,-9.11E-05,7.21E-07,-0.1938,2.2983,1.7148,2.2983,-0.1938,1.9705,-2.01E+07,3.59E+07,-2.01E+07,3.59E+07,-5.11E+06,8.64E+06,0,1.24E-02,4.65E-06,8.42E-03,0,1.24E-02,0,2.48E+09,1.74E+06,2.48E+09,0,1.34E+09,-9.54E-05,7.21E-07,-0.1938,2.2983,-2.01E+07,3.59E+07,0,1.24E-02,0,2.48E+09,-9.08E-06,1.62E-05,,-3.35E-10
87,1,1.10E-05,-9.52E-05,8.80E-07,-9.52E-05,-9.12E-05,-9.08E-05,8.80E-07,-0.18537,2.5605,1.9251,2.5605,-0.18537,2.1761,-3.30E+07,1.74E+07,-3.30E+07,1.74E+07,-7.84E+06,6.15E+06,0,1.23E-02,4.91E-06,8.33E-03,0,1.23E-02,0,2.46E+09,1.88E+06,2.46E+09,0,1.33E+09,-9.52E-05,8.80E-07,-0.18537,2.5605,-3.30E+07,1.74E+07,0,1.23E-02,0,2.46E+09,-1.49E-05,7.86E-06,,-3.37E-10
88,1,1.12E-05,-9.49E-05,1.09E-06,-9.49E-05,-9.09E-05,-9.05E-05,1.09E-06,-0.15576,2.8162,1.8111,2.8162,-0.15576,2.3485,-2.47E+07,2.86E+07,-2.47E+07,2.86E+07,-2.12E+07,1.33E+07,0,1.21E-02,4.79E-06,8.21E-03,0,1.21E-02,0,2.42E+09,1.82E+06,2.42E+09,0,1.30E+09,-9.49E-05,1.09E-06,-0.15576,2.8162,-2.47E+07,2.86E+07,0,1.21E-02,0,2.42E+09,-1.12E-05,1.29E-05,,-3.39E-10
89,1,1.13E-05,-9.45E-05,1.31E-06,-9.45E-05,-9.06E-05,-9.03E-05,1.31E-06,-0.17772,3.0934,2.3021,3.0934,-0.17772,2.6141,-1.64E+07,3.11E+07,-1.64E+07,3.11E+07,-5.51E+06,1.06E+07,0,1.20E-02,3.60E-06,8.08E-03,0,1.20E-02,0,2.37E+09,1.50E+06,2.37E+09,0,1.29E+09,-9.45E-05,1.31E-06,-0.17772,3.0934,-1.64E+07,3.11E+07,0,1.20E-02,0,2.37E+09,-7.41E-06,1.40E-05,,-3.40E-10
90,1,1.14E-05,-9.42E-05,1.57E-06,-9.42E-05,-9.03E-05,-8.99E-05,1.57E-06,-0.17377,3.3604,2.5612,3.3604,-0.17377,2.9089,-2.30E+07,6.32E+07,-2.30E+07,6.32E+07,-5.19E+06,1.09E+07,0,1.20E-02,4.32E-06,7.93E-03,0,1.20E-02,0,2.32E+09,1.86E+06,2.32E+09,0,1.26E+09,-9.42E-05,1.57E-06,-0.17377,3.3604,-2.30E+07,6.32E+07,0,1.20E-02,0,2.32E+09,-1.04E-05,2.85E-05,,-3.41E-10
91,1,1.16E-05,-9.38E-05,1.85E-06,-9.38E-05,-9.00E-05,-8.96E-05,1.85E-06,-0.1922,3.6331,2.7431,3.6331,-0.1922,3.1389,-1.35E+07,3.60E+07,-1.01E+07,3.60E+07,-1.35E+07,8.72E+06,0,1.19E-02,4.67E-06,7.79E-03,0,1.19E-02,0,2.27E+09,2.03E+06,2.27E+09,0,1.24E+09,-9.38E-05,1.85E-06,-0.1922,3.6331,-1.35E+07,3.60E+07,0,1.19E-02,0,2.27E+09,-4.56E-06,1.63E-05,,-3.47E-10
92,1,1.17E-05,-9.34E-05,2.15E-06,-9.34E-05,-8.96E-05,-8.92E-05,2.15E-06,-0.19378,3.8643,2.9228,3.8643,-0.19378,3.2762,-2.56E+07,4.51E+07,-2.56E+07,4.51E+07,-4.79E+06,8.05E+06,0,1.19E-02,4.44E-06,7.61E-03,0,1.19E-02,0,2.22E+09,1.74E+06,2.22E+09,0,1.22E+09,-9.34E-05,2.15E-06,-0.19378,3.8643,-2.56E+07,4.51E+07,0,1.19E-02,0,2.22E+09,-1.16E-05,2.04E-05,,-3.49E-10
93,1,1.18E-05,-9.29E-05,2.47E-06,-9.29E-05,-8.92E-05,-8.88E-05,2.47E-06,-0.13516,4.0814,3.0154,4.0814,-0.13516,3.4993,-1.88E+07,1.58E+07,-1.88E+07,1.58E+07,-1.16E+07,1.01E+07,0,1.19E-02,3.19E-06,7.44E-03,0,1.19E-02,0,2.16E+09,1.21E+06,2.16E+09,0,1.20E+09,-9.29E-05,2.47E-06,-0.13516,4.0814,-1.88E+07,1.58E+07,0,1.19E-02,0,2.16E+09,-8.49E-06,7.13E-06,,-3.51E-10
94,1,1.19E-05,-9.25E-05,2.80E-06,-9.25E-05,-8.88E-05,-8.84E-05,2.80E-06,-0.18696,4.3117,3.2477,4.3117,-0.18696,3.7262,-1.37E+07,3.82E+07,-1.37E+07,3.82E+07,-6.45E+06,7.46E+06,0,1.18E-02,2.49E-06,7.26E-03,0,1.18E-02,0,2.09E+09,1.07E+06,2.09E+09,0,1.19E+09,-9.25E-05,2.80E-06,-0.18696,4.3117,-1.37E+07,3.82E+07,0,1.18E-02,0,2.09E+09,-6.19E-06,1.72E-05,,-3.51E-10
95,1,1.21E-05,-9.19E-05,3.14E-06,-9.19E-05,-8.83E-05,-8.79E-05,3.14E-06,-0.18762,4.5032,3.4507,4.5032,-0.18762,3.8814,-1.24E+07,4.21E+07,-1.24E+07,4.21E+07,-5.80E+06,7.14E+06,0,1.18E-02,3.24E-06,7.07E-03,0,1.18E-02,0,2.02E+09,1.21E+06,2.02E+09,0,1.18E+09,-9.19E-05,3.14E-06,-0.18762,4.5032,-1.24E+07,4.21E+07,0,1.18E-02,0,2.02E+09,-5.60E-06,1.90E-05,,-3.55E-10
96,1,1.22E-05,-9.14E-05,3.44E-06,-9.14E-05,-8.79E-05,-8.75E-05,3.44E-06,-0.17237,4.7003,3.597,4.7003,-0.17237,3.9635,-7.42E+07,2.47E+07,-7.42E+07,2.47E+07,-8.98E+06,1.69E+07,0,1.17E-02,3.61E-06,6.82E-03,0,1.17E-02,0,1.96E+09,1.35E+06,1.96E+09,0,1.17E+09,-9.14E-05,3.44E-06,-0.17237,4.7003,-7.42E+07,2.47E+07,0,1.17E-02,0,1.96E+09,-3.35E-05,1.12E-05,,-3.57E-10
97,1,1.23E-05,-9.09E-05,3.72E-06,-9.09E-05,-8.74E-05,-8.70E-05,3.72E-06,-0.19437,4.8925,3.7228,4.8925,-0.19437,4.0734,-2.35E+07,4.95E+07,-2.35E+07,4.95E+07,-1.27E+07,9.00E+06,0,1.17E-02,3.89E-06,6.54E-03,0,1.17E-02,0,1.88E+09,1.55E+06,1.88E+09,0,1.16E+09,-9.09E-05,3.72E-06,-0.19437,4.8925,-2.35E+07,4.95E+07,0,1.17E-02,0,1.88E+09,-1.06E-05,2.24E-05,,-3.58E-10
98,1,1.25E-05,-9.03E-05,4.02E-06,-9.03E-05,-8.69E-05,-8.65E-05,4.02E-06,-0.23543,5.0708,3.9371,5.0708,-0.23543,4.4251,-1.54E+07,2.51E+07,-1.54E+07,2.51E+07,-1.28E+07,1.48E+07,0,1.16E-02,3.14E-06,6.26E-03,0,1.16E-02,0,1.79E+09,1.26E+06,1.79E+09,0,1.16E+09,-9.03E-05,4.02E-06,-0.23543,5.0708,-1.54E+07,2.51E+07,0,1.16E-02,0,1.79E+09,-6.95E-06,1.13E-05,,-3.62E-10
99,1,1.26E-05,-8.97E-05,4.29E-06,-8.97E-05,-8.64E-05,-8.59E-05,4.29E-06,-0.15329,5.2455,4.0775,5.2455,-0.15329,4.3991,-3.55E+07,2.33E+07,-3.55E+07,2.33E+07,-2.11E+07,1.49E+07,0,1.15E-02,2.42E-06,5.91E-03,0,1.15E-02,0,1.68E+09,9.90E+05,1.68E+09,0,1.14E+09,-8.97E-05,4.29E-06,-0.15329,5.2455,-3.55E+07,2.33E+07,0,1.15E-02,0,1.68E+09,-1.60E-05,1.05E-05,,-3.64E-10
100,1,1.27E-05,-8.91E-05,4.52E-06,-8.91E-05,-8.58E-05,-8.54E-05,4.52E-06,-0.16852,5.3804,4.1811,5.3804,-0.16852,4.5638,-1.65E+07,3.13E+07,-1.65E+07,3.13E+07,-1.42E+07,1.31E+07,0,1.15E-02,2.26E-06,5.57E-03,0,1.15E-02,0,1.54E+09,8.83E+05,1.54E+09,0,1.13E+09,-8.91E-05,4.52E-06,-0.16852,5.3804,-1.65E+07,3.13E+07,0,1.15E-02,0,1.54E+09,-7.45E-06,1.41E-05,,-3.65E-10
101,1,1.28E-05,-8.84E-05,4.74E-06,-8.84E-05,-8.53E-05,-8.49E-05,4.74E-06,-0.16657,5.5432,4.2416,5.5432,-0.16657,4.4676,-3.23E+07,5.31E+07,-3.23E+07,5.31E+07,-2.16E+07,2.04E+07,0,1.14E-02,1.59E-06,5.17E-03,0,1.14E-02,0,1.43E+09,6.45E+05,1.43E+09,0,1.12E+09,-8.84E-05,4.74E-06,-0.16657,5.5432,-3.23E+07,5.31E+07,0,1.14E-02,0,1.43E+09,-1.46E-05,2.40E-05,,-3.66E-10
102,1,1.30E-05,-8.78E-05,4.97E-06,-8.78E-05,-8.47E-05,-8.43E-05,4.97E-06,-0.21022,5.6727,4.3457,5.6727,-0.21022,4.7244,-2.81E+07,1.54E+07,-2.81E+07,1.54E+07,-1.54E+07,1.44E+07,0,1.14E-02,2.10E-06,4.74E-03,0,1.14E-02,0,1.31E+09,8.16E+05,1.31E+09,0,1.11E+09,-8.78E-05,4.97E-06,-0.21022,5.6727,-2.81E+07,1.54E+07,0,1.14E-02,0,1.31E+09,-1.27E-05,6.95E-06,,-3.71E-10
103,1,1.31E-05,-8.71E-05,5.21E-06,-8.71E-05,-8.40E-05,-8.37E-05,5.21E-06,-0.21211,5.7899,4.5047,5.7899,-0.21211,4.9048,-1.78E+07,4.92E+07,-1.78E+07,4.92E+07,-8.14E+06,1.45E+07,0,1.13E-02,1.30E-06,4.30E-03,0,1.13E-02,0,1.20E+09,5.55E+05,1.20E+09,0,1.10E+09,-8.71E-05,5.21E-06,-0.21211,5.7899,-1.78E+07,4.92E+07,0,1.13E-02,0,1.20E+09,-8.04E-06,2.22E-05,,-3.71E-10
