Unnamed: 0,Steps,Time [s],[A] Directional Deformation Flexible (Min) [m],[B] Directional Deformation Flexible (Max) [m],[C] Directional Deformation SiC (Min) [m],[D] Directional Deformation SiC (Max) [m],[E] Directional Deformation Asperity (Min) [m],[F] Directional Deformation Asperity (Max) [m],[G] Directional Velocity Flexible (Min) [m/s],[H] Directional Velocity Flexible (Max) [m/s],[I] Directional Velocity SiC (Min) [m/s],[J] Directional Velocity SiC (Max) [m/s],[K] Directional Velocity Asperity (Min) [m/s],[L] Directional Velocity Asperity (Max) [m/s],[M] Directional Acceleration Flexible (Min) [m/s²],[N] Directional Acceleration Flexible (Max) [m/s²],[O] Directional Acceleration SiC (Min) [m/s²],[P] Directional Acceleration SiC (Max) [m/s²],[Q] Directional Acceleration Asperity (Min) [m/s²],[R] Directional Acceleration Asperity (Max) [m/s²],[S] Equivalent Elastic Strain Flexible (Min) [m/m],[T] Equivalent Elastic Strain Flexible (Max) [m/m],[U] Equivalent Elastic Strain SiC (Min) [m/m],[V] Equivalent Elastic Strain SiC (Max) [m/m],[W] Equivalent Elastic Strain Asperity (Min) [m/m],[X] Equivalent Elastic Strain Asperity (Max) [m/m],[Y] Equivalent Stress Flexible (Min) [Pa],[Z] Equivalent Stress Flexible (Max) [Pa],[AA] Equivalent Stress SiC (Min) [Pa],[AB] Equivalent Stress SiC (Max) [Pa],[AC] Equivalent Stress Asperity (Min) [Pa],[AD] Equivalent Stress Asperity (Max) [Pa],[AE] Directional Deformation 4 (Min) [m],[AF] Directional Deformation 4 (Max) [m],[AG] Directional Velocity 4 (Min) [m/s],[AH] Directional Velocity 4 (Max) [m/s],[AI] Directional Acceleration (Min) [m/s²],[AJ] Directional Acceleration (Max) [m/s²],[AK] Equivalent Elastic Strain 4 (Min) [m/m],[AL] Equivalent Elastic Strain 4 (Max) [m/m],[AM] Equivalent Stress 4 (Min) [Pa],[AN] Equivalent Stress 4 (Max) [Pa]
1,1,1.18E-38,0,0,0,0,0,0,-25,0,-25,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,0,0,0,0,0,0,0
2,1,1.26E-07,-3.15E-06,1.49E-08,-3.15E-06,-3.04E-06,-1.56E-06,1.49E-08,-25.626,0.2727,-25.626,-22.618,-20.9,0.2727,-7.40E+08,2.94E+08,-7.40E+08,2.94E+08,-1.42E+08,2.00E+08,0,1.00E-02,0,5.90E-04,0,1.00E-02,0,6.02E+08,0,1.22E+08,0,6.02E+08,-3.15E-06,1.49E-08,-25.626,0.2727,-7.40E+08,2.94E+08,0,1.00E-02,0,6.02E+08
3,1,2.54E-07,-6.36E-06,6.24E-10,-6.36E-06,-6.10E-06,-4.63E-06,6.24E-10,-25.729,1.2656,-25.729,-21.956,-23.741,1.2656,-4.55E+08,4.12E+08,-4.55E+08,4.12E+08,-2.70E+08,9.14E+07,0,1.21E-02,1.24E-09,9.37E-04,0,1.21E-02,0,8.23E+08,247.18,2.58E+08,0,8.23E+08,-6.36E-06,6.24E-10,-25.729,1.2656,-4.55E+08,4.12E+08,0,1.21E-02,0,8.23E+08
4,1,3.83E-07,-9.57E-06,2.35E-09,-9.57E-06,-8.98E-06,-7.82E-06,2.35E-09,-27.095,0.36882,-25.96,-19.208,-27.095,0.36882,-4.32E+08,7.64E+08,-4.32E+08,6.32E+08,-3.34E+08,7.64E+08,0,1.24E-02,2.98E-08,2.26E-03,0,1.24E-02,0,9.57E+08,13275,5.84E+08,0,9.57E+08,-9.57E-06,2.35E-09,-27.095,0.36882,-4.32E+08,7.64E+08,0,1.24E-02,0,9.57E+08
5,1,5.11E-07,-1.28E-05,3.38E-09,-1.28E-05,-1.19E-05,-1.12E-05,3.38E-09,-25.546,3.60E-02,-25.546,-23.191,-24.75,3.60E-02,-2.51E+08,2.20E+08,-1.51E+08,2.20E+08,-2.51E+08,1.84E+08,0,1.25E-02,1.81E-07,2.77E-03,0,1.25E-02,0,1.08E+09,75555,7.66E+08,0,1.08E+09,-1.28E-05,3.38E-09,-25.546,3.60E-02,-2.51E+08,2.20E+08,0,1.25E-02,0,1.08E+09
6,1,6.40E-07,-1.60E-05,7.48E-09,-1.60E-05,-1.49E-05,-1.47E-05,7.48E-09,-25.225,4.50E-02,-25.225,-22.312,-24.945,4.50E-02,-6.88E+08,6.88E+08,-4.22E+08,5.42E+08,-6.88E+08,6.88E+08,0,1.26E-02,5.59E-07,2.88E-03,0,1.26E-02,0,1.22E+09,2.35E+05,9.97E+08,0,1.22E+09,-1.60E-05,7.48E-09,-25.225,4.50E-02,-6.88E+08,6.88E+08,0,1.26E-02,0,1.22E+09
7,1,7.68E-07,-1.92E-05,1.10E-08,-1.92E-05,-1.80E-05,-1.82E-05,1.10E-08,-26.922,7.21E-02,-26.467,-22.015,-26.922,7.21E-02,-2.47E+08,2.67E+08,-2.47E+08,2.67E+08,-1.92E+08,1.57E+08,0,1.27E-02,1.04E-06,4.86E-03,0,1.27E-02,0,1.27E+09,3.93E+05,1.27E+09,0,1.25E+09,-1.92E-05,1.10E-08,-26.922,7.21E-02,-2.47E+08,2.67E+08,0,1.27E-02,0,1.27E+09
8,1,8.96E-07,-2.24E-05,1.59E-08,-2.24E-05,-2.08E-05,-2.16E-05,1.59E-08,-26.541,2.3946,-25.411,-22.108,-26.541,2.3946,-1.71E+08,1.32E+08,-1.71E+08,1.32E+08,-6.25E+07,7.69E+07,0,1.27E-02,1.17E-06,7.41E-03,0,1.27E-02,0,1.71E+09,3.59E+05,1.71E+09,0,1.27E+09,-2.24E-05,1.59E-08,-26.541,2.3946,-1.71E+08,1.32E+08,0,1.27E-02,0,1.71E+09
9,1,1.02E-06,-2.56E-05,1.38E-08,-2.56E-05,-2.39E-05,-2.47E-05,1.38E-08,-25.941,1.9682,-25.358,-21.71,-25.941,1.9682,-2.48E+08,1.27E+08,-2.48E+08,1.20E+08,-1.02E+08,1.27E+08,0,1.27E-02,1.52E-06,7.22E-03,0,1.27E-02,0,1.89E+09,5.09E+05,1.89E+09,0,1.35E+09,-2.56E-05,1.38E-08,-25.941,1.9682,-2.48E+08,1.27E+08,0,1.27E-02,0,1.89E+09
10,1,1.15E-06,-2.87E-05,1.28E-08,-2.87E-05,-2.70E-05,-2.79E-05,1.28E-08,-29.93,3.4294,-25.041,-22.694,-29.93,3.4294,-1.89E+08,1.32E+08,-9.71E+07,1.32E+08,-1.89E+08,9.34E+07,0,1.27E-02,1.97E-06,6.80E-03,0,1.27E-02,0,2.10E+09,5.63E+05,2.10E+09,0,1.36E+09,-2.87E-05,1.28E-08,-29.93,3.4294,-1.89E+08,1.32E+08,0,1.27E-02,0,2.10E+09
